FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2020-04-05,California,1620
2020-04-05,Colorado,622
2020-04-05,Connecticut,65
2020-04-05,Florida,1482
2020-04-05,Georgia,674
2020-04-05,Hawaii,193
2020-04-05,Idaho,56
2020-04-05,Illinois,1016
2020-04-05,Indiana,169
2020-04-05,Iowa,67
2020-04-05,Kansas,39
2020-04-05,Kentucky,174
2020-04-05,Louisiana,192
2020-04-05,Maine,43
2020-04-05,Maryland,240
2020-04-05,Massachusetts,225
2020-04-05,Michigan,411
2020-04-05,Minnesota,278
2020-04-05,Mississippi,33
2020-04-05,Missouri,335
2020-04-05,Montana,52
2020-04-05,Nebraska,70
2020-04-05,Nevada,447
2020-04-05,New Hampshire,23
2020-04-05,New Jersey,211
2020-04-05,New Mexico,73
2020-04-05,New York,627
2020-04-05,North Carolina,884
2020-04-05,North Dakota,44
2020-04-05,Ohio,246
2020-04-05,Oklahoma,94
2020-04-05,Oregon,184
2020-04-05,Pennsylvania,553
2020-04-05,Puerto Rico,43
2020-04-05,Rhode Island,39
2020-04-05,South Carolina,156
2020-04-05,South Dakota,34
2020-04-05,Tennessee,346
2020-04-05,Texas,1844
2020-04-05,U.S. Pacific Trust Territories and Possessions,3
2020-04-05,U.S. Virgin Islands,9
2020-04-05,Utah,246
2020-04-05,Vermont,19
2020-04-05,Virginia,623
2020-04-05,Washington,356
2020-04-05,West Virginia,20
2020-04-05,Wisconsin,146
2020-04-05,Wyoming,15
2020-04-06,Alabama,89
2020-04-06,Alaska,42
2020-04-06,Arizona,548
2020-04-06,Arkansas,78
2020-04-06,California,1681
2020-04-06,Colorado,636
2020-04-06,Connecticut,63
2020-04-06,Florida,1371
2020-04-06,Georgia,667
2020-04-06,Hawaii,177
2020-04-06,Idaho,57
2020-04-06,Illinois,1117
2020-04-06,Indiana,161
2020-04-06,Iowa,70
2020-04-06,Kansas,41
2020-04-06,Kentucky,178
2020-04-06,Louisiana,188
2020-04-06,Maine,40
2020-04-06,Maryland,266
2020-04-06,Massachusetts,246
2020-04-06,Michigan,420
2020-04-06,Minnesota,286
2020-04-06,Mississippi,33
2020-04-06,Missouri,346
2020-04-06,Montana,52
2020-04-06,Nebraska,70
2020-04-06,Nevada,434
2020-04-06,New Hampshire,26
2020-04-06,New Jersey,216
2020-04-06,New Mexico,76
2020-04-06,New York,659
2020-04-06,North Carolina,888
2020-04-06,North Dakota,45
2020-04-06,Ohio,250
2020-04-06,Oklahoma,105
2020-04-06,Oregon,178
2020-04-06,Pennsylvania,548
2020-04-06,Puerto Rico,38
2020-04-06,Rhode Island,41
2020-04-06,South Carolina,152
2020-04-06,South Dakota,34
2020-04-06,Tennessee,332
2020-04-06,Texas,1888
2020-04-06,U.S. Pacific Trust Territories and Possessions,1
2020-04-06,U.S. Virgin Islands,6
2020-04-06,Utah,242
2020-04-06,Vermont,19
2020-04-06,Virginia,599
2020-04-06,Washington,329
2020-04-06,West Virginia,19
2020-04-06,Wisconsin,151
2020-04-06,Wyoming,15
2020-04-07,Alabama,75
2020-04-07,Alaska,51
2020-04-07,Arizona,416
2020-04-07,Arkansas,57
2020-04-07,California,1494
2020-04-07,Colorado,573
2020-04-07,Connecticut,61
2020-04-07,Florida,1124
2020-04-07,Georgia,640
2020-04-07,Hawaii,110
2020-04-07,Idaho,56
2020-04-07,Illinois,884
2020-04-07,Indiana,132
2020-04-07,Iowa,49
2020-04-07,Kansas,29
2020-04-07,Kentucky,145
2020-04-07,Louisiana,161
2020-04-07,Maine,34
2020-04-07,Maryland,261
2020-04-07,Massachusetts,196
2020-04-07,Michigan,380
2020-04-07,Minnesota,273
2020-04-07,Mississippi,28
2020-04-07,Missouri,309
2020-04-07,Montana,48
2020-04-07,Nebraska,59
2020-04-07,Nevada,363
2020-04-07,New Hampshire,21
2020-04-07,New Jersey,207
2020-04-07,New Mexico,66
2020-04-07,New York,518
2020-04-07,North Carolina,738
2020-04-07,North Dakota,36
2020-04-07,Ohio,207
2020-04-07,Oklahoma,93
2020-04-07,Oregon,177
2020-04-07,Pennsylvania,460
2020-04-07,Puerto Rico,36
2020-04-07,Rhode Island,35
2020-04-07,South Carolina,135
2020-04-07,South Dakota,27
2020-04-07,Tennessee,278
2020-04-07,Texas,1661
2020-04-07,U.S. Pacific Trust Territories and Possessions,1
2020-04-07,U.S. Virgin Islands,8
2020-04-07,Utah,215
2020-04-07,Vermont,18
2020-04-07,Virginia,493
2020-04-07,Washington,356
2020-04-07,West Virginia,14
2020-04-07,Wisconsin,134
2020-04-07,Wyoming,14
2020-04-08,Alabama,69
2020-04-08,Alaska,51
2020-04-08,Arizona,410
2020-04-08,Arkansas,50
2020-04-08,California,1348
2020-04-08,Colorado,506
2020-04-08,Connecticut,47
2020-04-08,Florida,998
2020-04-08,Georgia,570
2020-04-08,Hawaii,101
2020-04-08,Idaho,49
2020-04-08,Illinois,755
2020-04-08,Indiana,117
2020-04-08,Iowa,49
2020-04-08,Kansas,32
2020-04-08,Kentucky,128
2020-04-08,Louisiana,139
2020-04-08,Maine,35
2020-04-08,Maryland,231
2020-04-08,Massachusetts,162
2020-04-08,Michigan,314
2020-04-08,Minnesota,225
2020-04-08,Mississippi,27
2020-04-08,Missouri,292
2020-04-08,Montana,45
2020-04-08,Nebraska,59
2020-04-08,Nevada,322
2020-04-08,New Hampshire,23
2020-04-08,New Jersey,107
2020-04-08,New Mexico,59
2020-04-08,New York,425
2020-04-08,North Carolina,723
2020-04-08,North Dakota,39
2020-04-08,Ohio,168
2020-04-08,Oklahoma,82
2020-04-08,Oregon,166
2020-04-08,Pennsylvania,436
2020-04-08,Puerto Rico,31
2020-04-08,Rhode Island,33
2020-04-08,South Carolina,115
2020-04-08,South Dakota,30
2020-04-08,Tennessee,261
2020-04-08,Texas,1470
2020-04-08,U.S. Pacific Trust Territories and Possessions,1
2020-04-08,U.S. Virgin Islands,5
2020-04-08,Utah,195
2020-04-08,Vermont,16
2020-04-08,Virginia,443
2020-04-08,Washington,327
2020-04-08,West Virginia,14
2020-04-08,Wisconsin,120
2020-04-08,Wyoming,13
2020-04-09,Alabama,71
2020-04-09,Alaska,48
2020-04-09,Arizona,414
2020-04-09,Arkansas,60
2020-04-09,California,1314
2020-04-09,Colorado,526
2020-04-09,Connecticut,48
2020-04-09,Florida,1049
2020-04-09,Georgia,572
2020-04-09,Hawaii,97
2020-04-09,Idaho,51
2020-04-09,Illinois,794
2020-04-09,Indiana,122
2020-04-09,Iowa,56
2020-04-09,Kansas,35
2020-04-09,Kentucky,142
2020-04-09,Louisiana,147
2020-04-09,Maine,34
2020-04-09,Maryland,231
2020-04-09,Massachusetts,169
2020-04-09,Michigan,322
2020-04-09,Minnesota,226
2020-04-09,Mississippi,27
2020-04-09,Missouri,296
2020-04-09,Montana,46
2020-04-09,Nebraska,62
2020-04-09,Nevada,341
2020-04-09,New Hampshire,21
2020-04-09,New Jersey,101
2020-04-09,New Mexico,59
2020-04-09,New York,439
2020-04-09,North Carolina,739
2020-04-09,North Dakota,39
2020-04-09,Ohio,175
2020-04-09,Oklahoma,89
2020-04-09,Oregon,152
2020-04-09,Pennsylvania,439
2020-04-09,Puerto Rico,32
2020-04-09,Rhode Island,37
2020-04-09,South Carolina,120
2020-04-09,South Dakota,32
2020-04-09,Tennessee,272
2020-04-09,Texas,1557
2020-04-09,U.S. Pacific Trust Territories and Possessions,1
2020-04-09,U.S. Virgin Islands,4
2020-04-09,Utah,201
2020-04-09,Vermont,16
2020-04-09,Virginia,451
2020-04-09,Washington,295
2020-04-09,West Virginia,16
2020-04-09,Wisconsin,123
2020-04-09,Wyoming,13
2020-04-10,Alabama,71
2020-04-10,Alaska,43
2020-04-10,Arizona,408
2020-04-10,Arkansas,57
2020-04-10,California,1299
2020-04-10,Colorado,529
2020-04-10,Connecticut,48
2020-04-10,Florida,1055
2020-04-10,Georgia,575
2020-04-10,Hawaii,97
2020-04-10,Idaho,43
2020-04-10,Illinois,800
2020-04-10,Indiana,124
2020-04-10,Iowa,58
2020-04-10,Kansas,33
2020-04-10,Kentucky,144
2020-04-10,Louisiana,148
2020-04-10,Maine,35
2020-04-10,Maryland,229
2020-04-10,Massachusetts,169
2020-04-10,Michigan,321
2020-04-10,Minnesota,227
2020-04-10,Mississippi,27
2020-04-10,Missouri,292
2020-04-10,Montana,38
2020-04-10,Nebraska,60
2020-04-10,Nevada,338
2020-04-10,New Hampshire,23
2020-04-10,New Jersey,107
2020-04-10,New Mexico,57
2020-04-10,New York,429
2020-04-10,North Carolina,745
2020-04-10,North Dakota,37
2020-04-10,Ohio,175
2020-04-10,Oklahoma,90
2020-04-10,Oregon,116
2020-04-10,Pennsylvania,442
2020-04-10,Puerto Rico,34
2020-04-10,Rhode Island,34
2020-04-10,South Carolina,121
2020-04-10,South Dakota,32
2020-04-10,Tennessee,273
2020-04-10,Texas,1548
2020-04-10,U.S. Pacific Trust Territories and Possessions,1
2020-04-10,U.S. Virgin Islands,4
2020-04-10,Utah,197
2020-04-10,Vermont,17
2020-04-10,Virginia,443
2020-04-10,Washington,264
2020-04-10,West Virginia,15
2020-04-10,Wisconsin,120
2020-04-10,Wyoming,14
2020-04-11,Alabama,61
2020-04-11,Alaska,33
2020-04-11,Arizona,399
2020-04-11,Arkansas,47
2020-04-11,California,1009
2020-04-11,Colorado,474
2020-04-11,Connecticut,46
2020-04-11,Florida,1164
2020-04-11,Georgia,477
2020-04-11,Hawaii,98
2020-04-11,Idaho,38
2020-04-11,Illinois,690
2020-04-11,Indiana,119
2020-04-11,Iowa,44
2020-04-11,Kansas,27
2020-04-11,Kentucky,111
2020-04-11,Louisiana,125
2020-04-11,Maine,31
2020-04-11,Maryland,180
2020-04-11,Massachusetts,133
2020-04-11,Michigan,271
2020-04-11,Minnesota,203
2020-04-11,Mississippi,22
2020-04-11,Missouri,246
2020-04-11,Montana,36
2020-04-11,Nebraska,54
2020-04-11,Nevada,282
2020-04-11,New Hampshire,24
2020-04-11,New Jersey,79
2020-04-11,New Mexico,48
2020-04-11,New York,349
2020-04-11,North Carolina,647
2020-04-11,North Dakota,33
