FL_DATE,ORIGIN_STATE,FLIGHT_COUNT_2019,FLIGHT_COUNT_2020
2019-04-04,New Mexico,83,64
2019-04-04,New York,1241,526
2019-04-04,North Carolina,1074,808
2019-04-04,North Dakota,69,39
2019-04-04,Ohio,383,225
2019-04-04,Oklahoma,136,78
2019-04-04,Oregon,312,158
2019-04-04,Pennsylvania,706,485
2019-04-04,Puerto Rico,75,40
2019-04-04,Rhode Island,58,34
2019-04-04,South Carolina,201,145
2019-04-04,South Dakota,44,30
2019-04-04,Tennessee,426,272
2019-04-04,Texas,2293,1603
2019-04-04,U.S. Pacific Trust Territories and Possessions,6,1
2019-04-04,U.S. Virgin Islands,15,8
2019-04-04,Utah,364,217
2019-04-04,Vermont,34,16
2019-04-04,Virginia,928,525
2019-04-04,Washington,646,321
2019-04-04,West Virginia,25,18
2019-04-04,Wisconsin,220,140
2019-04-04,Wyoming,22,14
2019-04-05,Alabama,131,97
2019-04-05,Alaska,105,39
2019-04-05,Arizona,636,597
2019-04-05,Arkansas,102,74
2019-04-05,California,2504,1620
2019-04-05,Colorado,856,622
2019-04-05,Connecticut,93,65
2019-04-05,Florida,1805,1482
2019-04-05,Georgia,1239,674
2019-04-05,Hawaii,333,193
2019-04-05,Idaho,87,56
2019-04-05,Illinois,1446,1016
2019-04-05,Indiana,220,169
2019-04-05,Iowa,94,67
2019-04-05,Kansas,49,39
2019-04-05,Kentucky,280,174
2019-04-05,Louisiana,255,192
2019-04-05,Maine,54,43
2019-04-05,Maryland,309,240
2019-04-05,Massachusetts,465,225
2019-04-05,Michigan,672,411
2019-04-05,Minnesota,504,278
2019-04-05,Mississippi,46,33
2019-04-05,Missouri,437,335
2019-04-05,Montana,77,52
2019-04-05,Nebraska,101,70
2019-04-05,Nevada,562,447
2019-04-05,New Hampshire,30,23
2019-04-05,New Jersey,482,211
2019-04-05,New Mexico,86,73
2019-04-05,New York,1242,627
2019-04-05,North Carolina,1074,884
2019-04-05,North Dakota,65,44
2019-04-05,Ohio,380,246
2019-04-05,Oklahoma,138,94
2019-04-05,Oregon,313,184
2019-04-05,Pennsylvania,704,553
2019-04-05,Puerto Rico,81,43
2019-04-05,Rhode Island,58,39
2019-04-05,South Carolina,204,156
2019-04-05,South Dakota,44,34
2019-04-05,Tennessee,432,346
2019-04-05,Texas,2301,1844
2019-04-05,U.S. Pacific Trust Territories and Possessions,3,3
2019-04-05,U.S. Virgin Islands,14,9
2019-04-05,Utah,370,246
2019-04-05,Vermont,33,19
2019-04-05,Virginia,922,623
2019-04-05,Washington,644,356
2019-04-05,West Virginia,25,20
2019-04-05,Wisconsin,224,146
2019-04-05,Wyoming,22,15
2019-04-06,Alabama,92,89
2019-04-06,Alaska,96,42
2019-04-06,Arizona,603,548
2019-04-06,Arkansas,69,78
2019-04-06,California,1997,1681
2019-04-06,Colorado,743,636
2019-04-06,Connecticut,85,63
2019-04-06,Florida,1894,1371
2019-04-06,Georgia,953,667
2019-04-06,Hawaii,333,177
2019-04-06,Idaho,71,57
2019-04-06,Illinois,1190,1117
2019-04-06,Indiana,190,161
2019-04-06,Iowa,72,70
2019-04-06,Kansas,35,41
2019-04-06,Kentucky,207,178
2019-04-06,Louisiana,213,188
2019-04-06,Maine,48,40
2019-04-06,Maryland,265,266
2019-04-06,Massachusetts,326,246
2019-04-06,Michigan,475,420
2019-04-06,Minnesota,356,286
2019-04-06,Mississippi,35,33
2019-04-06,Missouri,336,346
2019-04-06,Montana,64,52
2019-04-06,Nebraska,78,70
2019-04-06,Nevada,467,434
2019-04-06,New Hampshire,28,26
2019-04-06,New Jersey,383,216
2019-04-06,New Mexico,70,76
2019-04-06,New York,901,659
2019-04-06,North Carolina,886,888
2019-04-06,North Dakota,53,45
2019-04-06,Ohio,291,250
2019-04-06,Oklahoma,106,105
2019-04-06,Oregon,245,178
2019-04-06,Pennsylvania,568,548
2019-04-06,Puerto Rico,89,38
2019-04-06,Rhode Island,50,41
2019-04-06,South Carolina,174,152
2019-04-06,South Dakota,40,34
2019-04-06,Tennessee,333,332
2019-04-06,Texas,1846,1888
2019-04-06,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-06,U.S. Virgin Islands,18,6
2019-04-06,Utah,280,242
2019-04-06,Vermont,32,19
2019-04-06,Virginia,703,599
2019-04-06,Washington,551,329
2019-04-06,West Virginia,17,19
2019-04-06,Wisconsin,182,151
2019-04-06,Wyoming,20,15
2019-04-07,Alabama,123,75
2019-04-07,Alaska,96,51
2019-04-07,Arizona,623,416
2019-04-07,Arkansas,95,57
2019-04-07,California,2361,1494
2019-04-07,Colorado,827,573
2019-04-07,Connecticut,86,61
2019-04-07,Florida,1810,1124
2019-04-07,Georgia,1184,640
2019-04-07,Hawaii,331,110
2019-04-07,Idaho,87,56
2019-04-07,Illinois,1397,884
2019-04-07,Indiana,210,132
2019-04-07,Iowa,91,49
2019-04-07,Kansas,47,29
2019-04-07,Kentucky,258,145
2019-04-07,Louisiana,261,161
2019-04-07,Maine,50,34
2019-04-07,Maryland,281,261
2019-04-07,Massachusetts,402,196
2019-04-07,Michigan,607,380
2019-04-07,Minnesota,476,273
2019-04-07,Mississippi,46,28
2019-04-07,Missouri,408,309
2019-04-07,Montana,76,48
2019-04-07,Nebraska,99,59
2019-04-07,Nevada,552,363
2019-04-07,New Hampshire,27,21
2019-04-07,New Jersey,457,207
2019-04-07,New Mexico,82,66
2019-04-07,New York,1122,518
2019-04-07,North Carolina,1021,738
2019-04-07,North Dakota,64,36
2019-04-07,Ohio,356,207
2019-04-07,Oklahoma,132,93
2019-04-07,Oregon,285,177
2019-04-07,Pennsylvania,672,460
2019-04-07,Puerto Rico,89,36
2019-04-07,Rhode Island,58,35
2019-04-07,South Carolina,198,135
2019-04-07,South Dakota,43,27
2019-04-07,Tennessee,410,278
2019-04-07,Texas,2245,1661
2019-04-07,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-07,U.S. Virgin Islands,15,8
2019-04-07,Utah,355,215
2019-04-07,Vermont,35,18
2019-04-07,Virginia,879,493
2019-04-07,Washington,614,356
2019-04-07,West Virginia,25,14
2019-04-07,Wisconsin,206,134
