YEAR,FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2019,2019-04-04,Michigan,668
2019,2019-04-04,Minnesota,502
2019,2019-04-04,Mississippi,45
2019,2019-04-04,Missouri,436
2019,2019-04-04,Montana,77
2019,2019-04-04,Nebraska,105
2019,2019-04-04,Nevada,553
2019,2019-04-04,New Hampshire,29
2019,2019-04-04,New Jersey,485
2019,2019-04-04,New Mexico,83
2019,2019-04-04,New York,1241
2019,2019-04-04,North Carolina,1074
2019,2019-04-04,North Dakota,69
2019,2019-04-04,Ohio,383
2019,2019-04-04,Oklahoma,136
2019,2019-04-04,Oregon,312
2019,2019-04-04,Pennsylvania,706
2019,2019-04-04,Puerto Rico,75
2019,2019-04-04,Rhode Island,58
2019,2019-04-04,South Carolina,201
2019,2019-04-04,South Dakota,44
2019,2019-04-04,Tennessee,426
2019,2019-04-04,Texas,2293
2019,2019-04-04,U.S. Pacific Trust Territories and Possessions,6
2019,2019-04-04,U.S. Virgin Islands,15
2019,2019-04-04,Utah,364
2019,2019-04-04,Vermont,34
2019,2019-04-04,Virginia,928
2019,2019-04-04,Washington,646
2019,2019-04-04,West Virginia,25
2019,2019-04-04,Wisconsin,220
2019,2019-04-04,Wyoming,22
2019,2019-04-05,Alabama,131
2019,2019-04-05,Alaska,105
2019,2019-04-05,Arizona,636
2019,2019-04-05,Arkansas,102
2019,2019-04-05,California,2504
2019,2019-04-05,Colorado,856
2019,2019-04-05,Connecticut,93
2019,2019-04-05,Florida,1805
2019,2019-04-05,Georgia,1239
2019,2019-04-05,Hawaii,333
2019,2019-04-05,Idaho,87
2019,2019-04-05,Illinois,1446
2019,2019-04-05,Indiana,220
2019,2019-04-05,Iowa,94
2019,2019-04-05,Kansas,49
2019,2019-04-05,Kentucky,280
2019,2019-04-05,Louisiana,255
2019,2019-04-05,Maine,54
2019,2019-04-05,Maryland,309
2019,2019-04-05,Massachusetts,465
2019,2019-04-05,Michigan,672
2019,2019-04-05,Minnesota,504
2019,2019-04-05,Mississippi,46
2019,2019-04-05,Missouri,437
2019,2019-04-05,Montana,77
2019,2019-04-05,Nebraska,101
2019,2019-04-05,Nevada,562
2019,2019-04-05,New Hampshire,30
2019,2019-04-05,New Jersey,482
2019,2019-04-05,New Mexico,86
2019,2019-04-05,New York,1242
2019,2019-04-05,North Carolina,1074
2019,2019-04-05,North Dakota,65
2019,2019-04-05,Ohio,380
2019,2019-04-05,Oklahoma,138
2019,2019-04-05,Oregon,313
2019,2019-04-05,Pennsylvania,704
2019,2019-04-05,Puerto Rico,81
2019,2019-04-05,Rhode Island,58
2019,2019-04-05,South Carolina,204
2019,2019-04-05,South Dakota,44
2019,2019-04-05,Tennessee,432
2019,2019-04-05,Texas,2301
2019,2019-04-05,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-05,U.S. Virgin Islands,14
2019,2019-04-05,Utah,370
2019,2019-04-05,Vermont,33
2019,2019-04-05,Virginia,922
2019,2019-04-05,Washington,644
2019,2019-04-05,West Virginia,25
2019,2019-04-05,Wisconsin,224
2019,2019-04-05,Wyoming,22
2019,2019-04-06,Alabama,92
2019,2019-04-06,Alaska,96
2019,2019-04-06,Arizona,603
2019,2019-04-06,Arkansas,69
2019,2019-04-06,California,1997
2019,2019-04-06,Colorado,743
2019,2019-04-06,Connecticut,85
2019,2019-04-06,Florida,1894
2019,2019-04-06,Georgia,953
2019,2019-04-06,Hawaii,333
2019,2019-04-06,Idaho,71
2019,2019-04-06,Illinois,1190
2019,2019-04-06,Indiana,190
2019,2019-04-06,Iowa,72
2019,2019-04-06,Kansas,35
2019,2019-04-06,Kentucky,207
2019,2019-04-06,Louisiana,213
2019,2019-04-06,Maine,48
2019,2019-04-06,Maryland,265
2019,2019-04-06,Massachusetts,326
2019,2019-04-06,Michigan,475
2019,2019-04-06,Minnesota,356
2019,2019-04-06,Mississippi,35
2019,2019-04-06,Missouri,336
2019,2019-04-06,Montana,64
2019,2019-04-06,Nebraska,78
2019,2019-04-06,Nevada,467
2019,2019-04-06,New Hampshire,28
2019,2019-04-06,New Jersey,383
2019,2019-04-06,New Mexico,70
2019,2019-04-06,New York,901
2019,2019-04-06,North Carolina,886
2019,2019-04-06,North Dakota,53
2019,2019-04-06,Ohio,291
2019,2019-04-06,Oklahoma,106
2019,2019-04-06,Oregon,245
2019,2019-04-06,Pennsylvania,568
2019,2019-04-06,Puerto Rico,89
2019,2019-04-06,Rhode Island,50
2019,2019-04-06,South Carolina,174
2019,2019-04-06,South Dakota,40
2019,2019-04-06,Tennessee,333
2019,2019-04-06,Texas,1846
2019,2019-04-06,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-06,U.S. Virgin Islands,18
2019,2019-04-06,Utah,280
2019,2019-04-06,Vermont,32
2019,2019-04-06,Virginia,703
2019,2019-04-06,Washington,551
2019,2019-04-06,West Virginia,17
2019,2019-04-06,Wisconsin,182
2019,2019-04-06,Wyoming,20
2019,2019-04-07,Alabama,123
2019,2019-04-07,Alaska,96
2019,2019-04-07,Arizona,623
2019,2019-04-07,Arkansas,95
2019,2019-04-07,California,2361
2019,2019-04-07,Colorado,827
2019,2019-04-07,Connecticut,86
2019,2019-04-07,Florida,1810
2019,2019-04-07,Georgia,1184
2019,2019-04-07,Hawaii,331
2019,2019-04-07,Idaho,87
2019,2019-04-07,Illinois,1397
2019,2019-04-07,Indiana,210
2019,2019-04-07,Iowa,91
2019,2019-04-07,Kansas,47
2019,2019-04-07,Kentucky,258
2019,2019-04-07,Louisiana,261
2019,2019-04-07,Maine,50
2019,2019-04-07,Maryland,281
2019,2019-04-07,Massachusetts,402
2019,2019-04-07,Michigan,607
2019,2019-04-07,Minnesota,476
2019,2019-04-07,Mississippi,46
2019,2019-04-07,Missouri,408
2019,2019-04-07,Montana,76
2019,2019-04-07,Nebraska,99
2019,2019-04-07,Nevada,552
2019,2019-04-07,New Hampshire,27
2019,2019-04-07,New Jersey,457
2019,2019-04-07,New Mexico,82
2019,2019-04-07,New York,1122
2019,2019-04-07,North Carolina,1021
2019,2019-04-07,North Dakota,64
2019,2019-04-07,Ohio,356
2019,2019-04-07,Oklahoma,132
2019,2019-04-07,Oregon,285
2019,2019-04-07,Pennsylvania,672
2019,2019-04-07,Puerto Rico,89
2019,2019-04-07,Rhode Island,58
2019,2019-04-07,South Carolina,198
2019,2019-04-07,South Dakota,43
2019,2019-04-07,Tennessee,410
2019,2019-04-07,Texas,2245
2019,2019-04-07,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-07,U.S. Virgin Islands,15
2019,2019-04-07,Utah,355
2019,2019-04-07,Vermont,35
2019,2019-04-07,Virginia,879
2019,2019-04-07,Washington,614
2019,2019-04-07,West Virginia,25
2019,2019-04-07,Wisconsin,206
2019,2019-04-07,Wyoming,20
2019,2019-04-08,Alabama,131
2019,2019-04-08,Alaska,106
2019,2019-04-08,Arizona,614
2019,2019-04-08,Arkansas,101
2019,2019-04-08,California,2503
2019,2019-04-08,Colorado,856
2019,2019-04-08,Connecticut,96
2019,2019-04-08,Florida,1753
2019,2019-04-08,Georgia,1244
2019,2019-04-08,Hawaii,321
2019,2019-04-08,Idaho,87
2019,2019-04-08,Illinois,1454
2019,2019-04-08,Indiana,216
2019,2019-04-08,Iowa,94
2019,2019-04-08,Kansas,49
2019,2019-04-08,Kentucky,280
2019,2019-04-08,Louisiana,254
2019,2019-04-08,Maine,54
2019,2019-04-08,Maryland,317
2019,2019-04-08,Massachusetts,474
2019,2019-04-08,Michigan,668
2019,2019-04-08,Minnesota,502
2019,2019-04-08,Mississippi,45
2019,2019-04-08,Missouri,430
2019,2019-04-08,Montana,76
2019,2019-04-08,Nebraska,100
2019,2019-04-08,Nevada,556
2019,2019-04-08,New Hampshire,35
2019,2019-04-08,New Jersey,482
2019,2019-04-08,New Mexico,88
2019,2019-04-08,New York,1238
2019,2019-04-08,North Carolina,1074
2019,2019-04-08,North Dakota,66
2019,2019-04-08,Ohio,378
2019,2019-04-08,Oklahoma,138
2019,2019-04-08,Oregon,310
2019,2019-04-08,Pennsylvania,705
2019,2019-04-08,Puerto Rico,80
2019,2019-04-08,Rhode Island,58
2019,2019-04-08,South Carolina,203
2019,2019-04-08,South Dakota,44
2019,2019-04-08,Tennessee,430
2019,2019-04-08,Texas,2303
2019,2019-04-08,U.S. Pacific Trust Territories and Possessions,4
2019,2019-04-08,U.S. Virgin Islands,14
2019,2019-04-08,Utah,368
2019,2019-04-08,Vermont,33
2019,2019-04-08,Virginia,924
2019,2019-04-08,Washington,647
2019,2019-04-08,West Virginia,25
2019,2019-04-08,Wisconsin,216
2019,2019-04-08,Wyoming,22
2019,2019-04-09,Alabama,123
2019,2019-04-09,Alaska,101
2019,2019-04-09,Arizona,596
2019,2019-04-09,Arkansas,95
2019,2019-04-09,California,2402
2019,2019-04-09,Colorado,807
2019,2019-04-09,Connecticut,94
2019,2019-04-09,Florida,1668
2019,2019-04-09,Georgia,1220
2019,2019-04-09,Hawaii,308
2019,2019-04-09,Idaho,84
2019,2019-04-09,Illinois,1412
2019,2019-04-09,Indiana,212
2019,2019-04-09,Iowa,88
2019,2019-04-09,Kansas,48
2019,2019-04-09,Kentucky,268
2019,2019-04-09,Louisiana,247
2019,2019-04-09,Maine,53
2019,2019-04-09,Maryland,312
2019,2019-04-09,Massachusetts,457
2019,2019-04-09,Michigan,654
